,Model name,Population,TP,TN,FP,FN,Prevalence,Accuracy,Precision,NPV,FDR,FOR,check_Pos,check_Neg,Recall,FPR,FNR,TNR,check_Pos2,check_Neg2,LR+,LR-,DOR,F1,FBeta,MCC,BM,MK,FM,PT,TS,BA,Ham,Jac(TS),AUC,Image pre-processing(s),ROI-M(s),OFC(s),GAN(s),CVSC time(s),Total time(s)
0,"CVSC1 ('D',)",40.0,12.0,14.0,6.0,8.0,0.5,0.65,0.6667,0.6364,0.3333,0.3636,1.0,1.0,0.6,0.3,0.4,0.7,1.0,1.0,2.0,0.5714,3.5002,0.6316,0.6476,0.3015,0.2999999999999998,0.3030999999999999,0.6325,0.4142,0.4615,0.65,0.35,0.4615,0.65,1.1847620904445648,49.977464616298676,0.22105662226676942,6.100963056087494,100.94611387848855,102.13087596893311
1,"CVSC CNT2 ('T',)",40.0,3.0,20.0,0.0,17.0,0.5,0.575,1.0,0.5405,0.0,0.4595,1.0,1.0,0.15,0.0,0.85,1.0,1.0,1.0,inf,0.85,inf,0.2609,0.4,0.2847,0.1499999999999999,0.5405,0.3873,0.0,0.15,0.575,0.425,0.15,0.575,0.6918182671070099,3.4247715532779694,0.00818684697151184,0.5117885410785675,46.825469988584516,47.517288255691525
2,"CVSC1 ('B', 'T')",40.0,2.0,20.0,0.0,18.0,0.5,0.55,1.0,0.5263,0.0,0.4737,1.0,1.0,0.1,0.0,0.9,1.0,1.0,1.0,inf,0.9,inf,0.1818,0.2957,0.2294,0.10000000000000009,0.5263,0.3162,0.0,0.1,0.55,0.45,0.1,0.55,0.6195804357528687,1.2737159430980682,0.004714351892471313,0.3372231721878052,31.451991778612136,32.071572214365005
3,"CVSC1 ('C',)",40.0,12.0,13.0,7.0,8.0,0.5,0.625,0.6316,0.619,0.3684,0.381,1.0,1.0,0.6,0.35,0.4,0.65,1.0,1.0,1.7143,0.6154,2.7857,0.6154,0.6229,0.2503,0.25,0.25059999999999993,0.6156,0.433,0.4444,0.625,0.375,0.4444,0.625,1.0677220344543457,49.91528359651566,0.21217151880264282,4.282122778892517,90.69784582853318,91.76556786298752
4,"CVSC MOG2 ('O', 'T')",40.0,6.0,20.0,0.0,14.0,0.5,0.65,1.0,0.5882,0.0,0.4118,1.0,1.0,0.3,0.0,0.7,1.0,1.0,1.0,inf,0.7,inf,0.4615,0.6182,0.4201,0.30000000000000004,0.5882000000000001,0.5477,0.0,0.3,0.65,0.35,0.3,0.65,0.8670219779014587,6.413068753480911,0.051361757516860965,1.8416471242904664,32.695828384161,33.562850362062456
5,"CVSC MOG2 ('C', 'O')",40.0,17.0,18.0,2.0,3.0,0.5,0.875,0.8947,0.8571,0.1053,0.1429,1.0,1.0,0.85,0.1,0.15,0.9,1.0,1.0,8.5,0.1667,50.9898,0.8718,0.8824,0.7509,0.75,0.7518,0.8721,0.2554,0.7727,0.875,0.125,0.7727,0.875,0.9072173297405243,22.220375049114228,0.06518568992614746,5.425452399253845,44.346871852874756,45.25408918261528
6,"CVSC1 ('O',)",40.0,12.0,14.0,6.0,8.0,0.5,0.65,0.6667,0.6364,0.3333,0.3636,1.0,1.0,0.6,0.3,0.4,0.7,1.0,1.0,2.0,0.5714,3.5002,0.6316,0.6476,0.3015,0.2999999999999998,0.3030999999999999,0.6325,0.4142,0.4615,0.65,0.35,0.4615,0.65,1.0950005114078523,51.14369770884514,0.20686452388763427,5.289709049463272,97.87191750407219,98.96691801548005
7,"CVSC1 ('C', 'D', 'B', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6742168545722962,0.0,0.0,0.0,29.124006193876266,29.798223048448563
8,"CVSC CNT2 ('C', 'O', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.6467340052127838,0.0,0.0,0.0,25.528666192293166,26.17540019750595
9,"CVSC CNT2 ('C', 'T')",40.0,0.0,20.0,0.0,20.0,0.5,0.5,,0.5,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.0,,,,0.0,0.5,0.5,0.0,0.5,0.896858686208725,0.0,0.0,0.0,31.88481965661049,32.78167834281921
10,"CVSC CNT2 ('C', 'O')",40.0,12.0,17.0,3.0,8.0,0.5,0.725,0.8,0.68,0.2,0.32,1.0,1.0,0.6,0.15,0.4,0.85,1.0,1.0,4.0,0.4706,8.4998,0.6857,0.7351,0.4648,0.44999999999999996,0.48,0.6928,0.3333,0.5217,0.725,0.275,0.5217,0.725,0.7075243830680847,24.312683516740798,0.06475777626037597,3.4999843895435334,59.87197649478912,60.57950087785721
11,"CVSC CNT2 ('C', 'O', 'B')",40.0,14.0,15.0,5.0,6.0,0.5,0.725,0.7368,0.7143,0.2632,0.2857,1.0,1.0,0.7,0.25,0.3,0.75,1.0,1.0,2.8,0.4,7.0,0.7179,0.7267,0.4506,0.44999999999999996,0.45110000000000006,0.7182,0.3741,0.56,0.725,0.275,0.56,0.725,0.7841921091079712,26.17631983757019,0.07290986776351929,4.261132097244262,58.385082584619525,59.169274693727495
12,"CVSC MOG2 ('D', 'B')",40.0,16.0,17.0,3.0,4.0,0.5,0.825,0.8421,0.8095,0.1579,0.1905,1.0,1.0,0.8,0.15,0.2,0.85,1.0,1.0,5.3333,0.2353,22.666,0.8205,0.8305,0.6508,0.6499999999999999,0.6516,0.8208,0.3022,0.6957,0.825,0.175,0.6957,0.825,1.1124747931957244,22.674641156196593,0.11705241799354553,2.575095868110657,50.01894115805626,51.13141595125198
